plot,x,y,survey_date,freq_jan,freq_aug,elevation,temp_jan,temp_aug,RH_jan,RH_aug,percip_jan,percip_aug,pH,N,log_P,log_K,freezing
F01A,121.34358,24.58764,2021/9/3,0.12392427,0.056016598,2086,6.852599686,17.14260568,87.70407079,91.30856461,69.49264705,356.8585826,3.39,84.2,-0.113509275,2.145631415,26
F01B,121.34222,24.5866,2022/6/21,0.12349914,0.047817048,2081,6.819220206,16.88612832,83.06115591,89.01400966,70.96333834,355.8877721,3.88,87.3,0.158362492,2.151247237,25
F01C,121.34168,24.58707,2022/6/21,0.12349914,0.047817048,2055,6.757030914,16.84370501,89.7965961,93.79889281,70.96333834,355.8877721,3.99,260.16,-0.086186148,1.690639012,26.5
F02A,121.35485,24.58759,2021/9/4,0.15463917,0.049792532,2071,6.991191532,17.10806371,89.17829189,91.92074275,71.25080128,360.7508878,3.51,34.84,0.056904851,1.909502541,23
F02B,121.3562,24.58763,2022/6/21,0.15463917,0.049792532,2060,6.958814516,17.03862047,81.69455869,88.06245471,71.25080128,360.7508878,4.59,276.58,-0.259637311,1.915241497,23.5
F02C,121.3533,24.58837,2022/6/21,0.148020655,0.060165975,2020,6.995983199,17.29821528,89.73909498,92.60686745,71.25080128,360.7508878,3.9,50.32,-0.096910013,2.169850702,25
F03A,121.36541,24.52445,2021/6/28,0.176470593,0.053278688,2040,5.953857975,16.86946618,93.51187209,93.53830797,71.93939822,359.4131842,3.01,110.72,-0.522878745,2.218088903,43
F03B,121.36568,24.52537,2022/6/12,0.207070708,0.060291059,2055,5.988890681,16.88704378,91.68422939,92.06171196,71.93939822,359.4131842,3.18,148.32,0,2.266701967,42.5
F03C,121.36608,24.52323,2022/6/13,0.182124794,0.069182388,2000,5.887025538,16.72798551,94.62134162,94.40463859,71.93939822,359.4131842,3.28,121.56,-0.494850022,2.019822224,42.5
F04A,121.44958,24.70506,2021/7/7,0.228905,0.08809,2115,5.745803539,16.56870229,92.17887858,93.21681854,139.2769284,410.2094253,3.24,114.64,NA,1.691169934,61
F04B,121.44416,24.70092,2022/6/30,0.2058319,0.079664573,2082,6.527019713,17.26293539,91.77479749,92.53642572,131.7321572,408.8815803,3.41,177.36,-0.698970004,2.036788533,40
F04C,121.44784,24.70413,2022/7/1,0.228905,0.08809,2105,6.047685932,16.67175423,87.77500672,88.97665157,139.2769284,410.2094253,3.62,162.7,-0.397940009,2.14940388,48
F05A,121.36751,24.63295,2021/7/28,0.275042444,0.088659793,2085,6.305456989,16.76760266,90.43124328,93.82098188,79.9682901,387.8161064,3.52,300.12,-0.180456064,1.968809714,39
F05B,121.36693,24.63337,2022/8/26,0.275042444,0.088659793,2070,6.47862276,16.79444777,90.49831048,94.63471196,79.30674285,383.1856861,3.66,277.62,-0.207608311,2.714153659,40
F05C,121.36572,24.63193,2022/8/29,0.236614853,0.075819671,2120,6.04334543,16.50621256,86.81639113,90.83128623,79.90979606,381.7214332,3.93,301.9,-0.37675071,2.127914294,40
F06A,121.38018,24.63547,2021/7/29,0.299826682,0.107660457,1930,6.523355959,17.3366567,92.60976501,94.30531431,81.43556879,397.1444487,3.4,267.18,-0.522878745,2.031004281,50.5
F06B,121.37869,24.63462,2022/8/2,0.300174534,0.118852459,1931,6.782620968,17.47180374,87.36219086,89.82960145,81.43556879,397.1444487,3.45,95.32,-0.397940009,1.954628378,48
F06C,121.37601,24.63799,2022/7/31,0.259896725,0.125256673,1980,6.383576837,17.03094444,92.91817249,95.25307971,81.55001222,395.0317811,3.64,252.9,-0.37675071,1.801678059,51
F07A,121.43698,24.72785,2021/9/25,0.334500879,0.13786009,1910,6.460365143,17.71399879,92.31319108,93.33900483,120.973719,395.9198236,3.21,277.06,-0.638272164,1.918135226,69.5
F07B,121.43625,24.72839,2022/7/25,0.310763896,0.121399179,1920,6.473425179,17.72875936,91.86450717,92.53494867,120.973719,395.9198236,3.34,158.42,-0.698970004,2.478248955,70.5
F07C,121.43522,24.729,2022/7/26,0.310763896,0.121399179,1940,6.352107975,17.54668176,90.65207661,89.24086051,120.973719,395.9198236,3.35,401.28,-0.677780705,2.470145776,64.5
F08A,121.35598,24.44246,2022/7/8,0.425795048,0.195121944,1960,6.035293683,17.39166606,93.94019691,93.88538225,98.00152993,303.1306288,3.8,193.38,-0.568636236,2.049411861,63
F08B,121.35692,24.44671,2022/7/6,0.418439716,0.169892475,1920,6.241819892,17.69109813,93.321431,92.07320079,102.5764171,290.9555307,3.33,282.38,-0.420216403,2.60836555,66
F08C,121.35589,24.44331,2022/7/8,0.423758864,0.176733777,1910,6.118882616,17.50878804,90.67434588,90.76487017,102.5764171,290.9555307,3.82,196.42,-0.420216403,2.124797568,75.5
F09A,121.5074,24.683,2022/7/15,0.427816898,0.184486374,1850,6.115196685,17.69905948,94.37243168,95.40822071,155.6543351,405.1565225,3.48,153.66,NA,2.630102286,70.5
F09B,121.506376,24.682409,2022/7/16,0.434325755,0.189075634,1855,6.077936828,17.52361111,93.23271729,94.03926027,155.6543351,405.1565225,3.56,212.9,-0.853871964,2.204798038,75.5
F09C,121.502795,24.680121,2022/7/17,0.435233146,0.182773113,1890,6.099863575,17.68571165,93.37945228,94.16396588,159.1962197,413.4097076,3.74,179.44,-0.327902142,2.48258777,82